,kanji,hiragana/katakana,persian,english
1657,頃,ころ,زمان,
1658,今では,いまでは,اکنون,
1659,今回,こんかい,این بار,
1660,今後も,こんごも,در آینده,
1661,今更,いまさら,الان دیگه دیره,
1662,今度,こんど,دفعه دیگه,
1663,今日のおすすめ,きょうのおすすめ,توصیه امروز,
1664,今日の夕方,きょうのゆうがた,عصر امروز,
1665,今日はじめじめしています。,きょうはじめじめしています。,امروز دارم خیس میشم,
1666,今年はあっという間に過ぎていく,ことしはあっというまにすぎていく,امسال زود میگذره,
1667,今晩電話,こんばんでんわ,امشب تماس بگیرید,
1668,今夜,こんや,امشب,
1669,困った,こまった,غیر منطقی,
1670,困る,こまる,به دردسر افتادن,
1671,困難,こんなん,دشوار,
1672,困難を乗り越える,こんなんをのりこえる,غلبه بر مشکلات,
1673,婚約,こんやく,نامزدی,
1674,恨み,うらみ,رنجش,
1675,恨み節,うらみぶし,جشنواره کینه,
1676,恨み節位,うらみぶしい,رنجش,
1677,恨む,うらむ,کینه داشتن,
1678,根,ね,ریشه (پیازچه),
1679,根本原因,ねもとげんいん,علت اصلی,
1680,梱包,こんぽう,بسته بندی,
1681,混ぜる,まぜる,مخلوط کردن,
1682,混雑,こんざつ,شلوغ,
1683,混乱する,こんらんする,گیج کننده شوید,
1684,些細な,ささいな,ناچیز / کوچک/بی اهمیت,
1685,左右,さゆう,چپ و راست,
1686,差,さ,تفاوت,
1687,差がある,さがある,یه تفاوت وجود دارد,
1688,差がない,さがない,فرقی نداره,
1689,差し引く,さしひく,کم کردن,
1690,差分バックアップ,さぶんバックアップ,پشتیبان گیری تفاوتی ,
1691,差別,さべつ,تبعیض,
1692,査証,さしょう,ویزا,
1693,査証取得,さしょうしゅとく,اخذ ویزا,
1694,砂糖,さとう,شکر,
1695,砂漠化,さばくか,کویری شدن,
1696,砂浜浜辺,すなはまはまべ,ساحل شنی,
1697,詐欺,さぎ,کلاهبرداری,scam
1698,座る,すわる,نشستن,
1699,座席,ざせき,صندلی وسیله نقلیه,
1700,座標,ざひょう,مختصات,
1701,催す,もよおす,نگه دارید,
1702,催眠,さいみん,هیپنوتیزم,
1703,再び,ふたたび,دوباره,"again,for a second time"
1704,再開する,さいかい,از سرگیری,
1705,再生する,さいせいする,تکثیر,
1706,再度,さいど,دوباره,again
1707,再配布,さいはいふ,توزیع مجدد,
1708,再発防止,さいはつぼうし,اقدام پیشگیرانه,
1709,再来週,さらいしゅう,هفته بعد از بعدی,
1710,最悪ですね。,さいあくですね。,این بدترین است.,
1711,最寄り,もより,نزدیکترین,
1712,最寄駅,もよりえき,نزدیکترین ایستگاه,
1713,最近,さいきん,اخیرا,these days
1714,最後,さいご,در نهایت,
1715,最後の状態,さいごのじょうたい,آخرین وضعیت,
1716,最高,さいこう,بهترین,
1717,最高気温,さいこうきおん,بالاترین دما,
1718,最終,さいしゅう,نهایی,
1719,最終学歴,さいしゅうがくれき,آخرین سابقه تحصیلی,
1720,最初,さいしょ,اولش,
1721,最小,さいしょう,کمترین,min
1722,最小限,さいしょうげん,به حداقل رساندن,
1723,最先端の技術,さいせんたんのぎじゅつ,تکنولوژی پیشرفته,
1724,最前列,さいぜんれつ,ردیف جلو,
1725,最善,さいぜん,بهتر بودن,
1726,最大,さいだい,بیشترین,max
1727,最短,さいたん,کوتاه ترین,
1728,最低価格,さいていかかく,پایین ترین قیمت,
1729,最低気温,さいていきおん,کمترین دما,
1730,最良日,さいりょうび,بهترین روز,
1731,才子,さいし,با استعداد /باهوش,
1732,才能,さいのう,استعداد,
1733,採取する,さいしゅする,جمع آوری کنید,
1734,採点,さいてん,درجه بندی,
1735,採用,さいよう,انتخاب یک نفر,
1736,済ます,すます,تمام کردن ,
1737,済ませる,すませる,انجام دادن,
1738,済みます,すみます,تمام کردن,
1739,災害,さいがい,فاجعه,
1740,災害,さいがい,بلایا,disaster
1741,災害救助,さいがいきゅうじょ,تسکین فاجعه,
1742,祭り,まつり,جشن,
1743,細かい,こまかい,با جزئیات,
1744,細胞培養器,さいぼうばいようき,دستگاه رشد سلولی,
1745,裁判,さいばん,محاکمه کردن,
1746,裁判所,さいばんしょ,دادگاه,
1747,裁量労働制,さいりょうろうどうせい,سیستم کار اختیاری,
1748,〜際,〜さい,هنگام,
1749,際立つ,きわだつ,برجسته شدن,
1750,在学,ざいがく,در حال حاضر در مدرسه ثبت نام کرده,
1751,在庫,ざいこ,موجودی,
1752,在庫管理,ざいこかんり,مدیریت سهام,
1753,在職中,ざいしょくちゅう,شغلی که انجام میدم,
1754,在籍する,ざいせき,ثبت نام کردن,
1755,在籍証明書,ざいせきしょうめいしょ,گواهی ثبت نام,
1756,在宅勤務,ざいたくきんむ,از راه دور کار کنید,
1757,在留カード,ざいりゅうカード,کارت اقامت,
1758,在留資格,ざいりゅうしかく,صلاحیت اقامت,
1759,材料,ざいりょう,مواد تهیه کننده,material
1760,罪を犯す,つみをおかす,ارتکاب جرم,
1761,財政的,ざいせいてき,مالی,
1762,財政的支援,ざいせいてきしえん,حمایت مالی,funding
1763,財布,さいふ,کیف پول,
1764,財務,ざいむ,"دارایی، مالیه، سرمایه گذاری",
1765,財務諸表,ざいむしょひょう,صورت های مالی,
1766,財務省,ざいむしょう,وزارت امور مالی,
1767,咲く,さく,شکوفه دادن,
1768,作る,つくる,ساختن,
1769,作業,さぎょう,"کاری که تصمیم 
بگیری انجام بدی",
1770,作業長,さぎょうちょう,"سرپرست کار ، رئیس کار",head of operations
1771,作曲家,さっきょくか,آهنگساز,
1772,作者,さくしゃ,نویسنده,
1773,作成,さくせい,ایجاد کردن,
1774,作文,さくぶん,انشا,
1775,作文まだの人,さくぶんまだのひと,کسی که هنوز ننوشته,
1776,削除,さくじょ,حذف,
1777,昨日,さくじつ,روز اول ماه,
1778,昨年,さくねん,سال گذشته,
1779,桜,さくら,گیلاس,
1780,笹塚,ささずか,ساسازوکا,
1781,察する,さっする,همدردی,
1782,撮影する,さつえいする,عکس گرفتن,
1783,札,さつ,صورتحساب,
1784,札束,さつたば,اسکناس,
1785,札幌の雪祭り,さっぽろのゆきまつり,جشنواره برف ساپورو,
1786,殺す,ころす,کشتن,
1787,殺人,さつじん,قتل,
1788,雑音,ざつおん,سر و صدا,
1789,雑巾,ぞうきん,دستمال گردگیر,
1790,雑誌,ざっし,مجله,
1791,三猿園,さんえんえん,باغ سه میمون,
1792,三温糖,さんおんとう,شکر سان اون,
1793,三角,さんかく,سه ضلعی,
1794,参加,さんか,شرکت کردن,
1795,参加する,さんかする,پیوستن,
1796,参加者,さんかしゃ,شرکت کننده,
1797,参考,さんこう,مرجع,
1798,参照する,さんしょうする,مراجعه کنید,
1799,参照制約,さんしょうせいやく,محدودیت ارجاعی,
1800,山小屋,やまごや,محل استراحت در بالای کوه,
1801,山頂,さんちょう,قله کوه,
1802,散らかす,ちらかす,به هم ریختن,
1803,散らかった,ちらかった,"بهم ریخته ، نامرتب",messy
1804,散る,ちる,به آهستگی از درخت برگاش بیفته,to scatter
1805,散布図,さんぷず,نمودار پراکندگی,scatter plot
1806,散歩,さんぽ,قدم زدن,
1807,産む,うむ,بدنیا آوردن,
1808,産業,さんぎょう,صنعت,industry
1809,算数,さんすう,حساب / ریاضیات,
1810,賛成,さんせい,موافقت,
1811,酸っぱい,すっぱい,ترش,
1812,残す,のこす,باقی گذاشتن,
1813,残り物,のこりもの,چیزی که مونده,
1814,残る,のこる,باقیمانده,remaining
1815,残業手当,ざんぎょうてあて,اضافه کاری بیش از حد,overtime payment
1816,残高,ざんだか,باقیمانده/موجودی,
1817,残高証明書,"ざんだか
しょうめいしょ",گواهی تعادل حساب,
1818,残高利用,ざんだかりよう,استفاده از تعادل,
1819,残念,ざんねん,متأسفم,
1820,仕事,しごと,کار,task
1821,仕上げる,しあげる,تکمیل یک عمل,
1822,仕切り,しきり,تقسیم کردن,
1823,仕方がない,しかたがない,کار دیگه ای ازم ساخته نیست,
1824,仕方ない,しかたない,نمی توان به آن کمک کرد,
1825,仕様,しよう,"مشخصات ، ویژگی ها",specifications
1826,伺います,うかがいます,من خواهم پرسید,
1827,使い放題,つかいほうだい,استفاده نامحدود,
1828,使う,つかう,استفاده کردن,
1829,使用禁止。,しようきんし。,استفاده نکن.,
1830,﻿使用食器,"しよう
しょっき",ظروف استفاده,
1831,使用性に分類,しようせいにぶんるい,طبقه بندی بر اساس قابلیت استفاده,
1832,使用中,しようちゅう,قبلا گرفته شده است,
1833,使用頻度の関係,しようひんどのかんけい,رابطه بین دفعات استفاده,
1834,使用量,しようりょう,مقدار قابل استفاده,
1835,刺さる,ささる,نیش زدن,
1836,刺身,さしみ,ساشیمی,
1837,四角い,しかくい,چهارظلعی,
1838,四季,しき,چهارفصل,
1839,始める,はじめる,شروع کردن,"to start ,begin"
1840,姉,あね,خواهر بزرگتر,
1841,姿,すがた,ظاهر,
1842,姿勢を正す,しせいをただす,وضعیت خود را اصلاح کنید,
1843,子供,こども,بچه ها,
1844,子供の頃,こどものころ,دوران بچگی,
1845,子供を剔らった犯人で,こどもを剔らったはんにんで,مقصری که کودکی را ربود,
1846,市,し,شهر,
1847,市区町村,しくちょうそん,شهرها ومناطق و روستاها,"cities,villages,town"
1848,市場,いちば,بازار,
1849,市町村,しちょうそん,شهرداری,
1850,市民,しみん,شهروند,
1851,市役所,しやくしょ,شهرداری,
1852,師匠。,ししょう。,استاد.,
1853,志望動機,しぼうどうき,انگیزه درخواست ,reason for applying
1854,思いやり,おもいやり,ملاحظه,
1855,思い込む,おもいこむ,فرض کردن,
1856,思い出,おもいで,حافظه,
1857,思い出させる,おもいださせる,یادآوری کردن,remind
1858,思い出す,おもいだす,به یاد آوردن,
1859,思う,おもう,فکر می کنم که,
1860,思想,しそう,فکر,
1861,指,ゆび,انگشت,
1862,指しています,さしています,اشاره می کند,
1863,指します,さします,اشاره به,
1864,指示,しじ,دستور / راهنما,
1865,指示する,しじする,دادن دستور العمل,
1866,指定,してい,"وضع کردن 
تعیین کردن",
1868,指定する,していする,مشخص كردن,
1869,指定の集合場所,していのしゅうごうばしょ,محل ملاقات تعیین شده,
1870,指定の様式,していのようしき,قالب تعیین شده,
1871,指摘事項,してきじこう,نکات قابل توجه,
1872,指導,しどう,"راهنمایی ، هدایت ، ارائه کمک","guidance,instructions"
1873,指輪,ゆびわ,انگشتر,
1874,支える,ささえる,حمایت /ساپورت,to support
1875,支給する,しきゅう,پرداخت شده به,
1876,支出,ししゅう,خرج کرد,
1877,支度,したく,آماده سازی,
1878,支払い,しはらい,پرداخت کردن,
1879,支払時期,しはらいじき,دوره پرداخت,
1880,支払方法,しはらいほうほう,روش پرداخت,
1881,支弁者,しべんしゃ,حامی,
1882,施行,しこう,اجرا,
1883,施策,しさく,معیارهای,
1884,施設,しせつ,تسهیلات,
1885,施設で見守り,しせつでみまもり,مراقب تاسیسات باشید,
1886,施設使用料,しせつしようりょう,هزینه استفاده از تسهیلات,
1887,旨い,うまい,خوشمزه,
1888,旨い汁,うまいしる,سوپ خوشمزه,
1889,枝,えだ,شاخه,
1890,止まる,とまる,توقف,
1891,止める,とめる,متوقف کردن,
1892,死ぬ,しぬ,مردن,
1893,死後,しご,بعد از مرگ,
1894,〜氏,〜し,"آقای ، خانم",
1895,氏名,しめい,نام و نام خانوادگی,
1896,私立学校法第,しりつがっこうほうだい,دسترسی نامحدود به مدارس  خصوصی,
1897,私立高校,しりつこうこう,دبیرستان خصوصی,
1898,紙幣認識,しへいにんしき,تشخیص اسکناس,
1899,脂質,ししつ,لیپید,
1900,脂肪,しぼう,چربی,
1901,至る,いたりる,"گرفتن (نتیجه ،تصمیم",
1902,至急,しきゅう,"اورژانسی ، فوری",urgent
1903,視線,しせん,چشم تو چشم با یکی دیگر,
1904,視点,してん,"دیدگاه ، نقطه نظر",
1905,視点を変える,してんをかえる,تغییر دیدگاه,
